COURSE CODE,COURSE TITLE,MAJOR(S) REQUIRED,REQUIRED OPTIONS,DIVISION,PROGRAM,CREDIT HOURS,SOURCE OF CLOs,DATE OF UPDATED RECORDED CLOs,,,TIL,SQL,INQ,ANL,INT,CRE,COM,COL,GCU,DEI,INFO LIT,SCI LIT,TECH LIT,QUANT LIT
CRE-350,Creative Media Portfolio 2,CREM,,CCM,CREM,3,,,,,0,0,2,1,2,3,2,1,1,1,,,,
CRE-350L,Creative Media Port 2 - Studio,,,CCM,CREM,0,,,,,,,,,,,,,,,,,,
CRE-400,Creative Media Prof Pract II,CREM,,CCM,CREM,3,,New 7/27/2020,,,1,0,1,1,0,0,3,0,1,2,,,,
CRJ-100,,,,SOI,CRIM,,,,,,2,1,3,3,2,0,2,0,1,,,,,
CRJ-115,Criminal Legal Systems,CRCJ,,SOI,CRCJ,3,,FA 23,,,,,2,2,1,0,1,0,0,3,3,0,0,0
CRJ-120,Criminal Law,"DIGF, CRCJ",,SOI,CRIM,3,Recent Syllabi,2016FA,,,3,0,3,3,3,0,2,0,1,,,,,
CRJ-121,Criminal Procedure,"CRCJ, LAW",,SOI,CRIM,3,Recent Syllabi,2016sp,,,2,0,3,3,2,0,3,0,2,,,,,
CRJ-225,Digital Evidence: Law of,DIGF,CNCS,SOI,CRIM,3,,,,,,,,,,,,,,,,,,
CRJ-230,Criminal Investigation,,,SOI,CRIM,3,Recent Syllabi,2016SP,,,2,1,3,3,1,0,3,0,1,,,,,
CRJ-235,Juvenile Justice,,,SOI,CRCJ,3,,SP 22,,,0,3,3,3,2,1,3,1,1,3,,,,
CRJ-240,Family Violence: Crisis and Justice,,,SOI,CRIM,3,College-approved curriculum,Dec 2009,,,3,2,3,3,3,0,2,0,3,,,,,
CRJ-245,Restorative Justice and 21st Century Prosecution,,,SOI,CRCJ,3,,FA 19,,,,,,,,,,,,,,,,
CRJ-250,Introduction to Criminology,,,SOI,CRIM,3,,SP 21,,,,,,,,,,,,,,,,
CRJ-265,Victimology,,,SOI,CRCJ,3,,,,,,,,,,,,,,,,,,
CRJ-270,Police Operations & Supervision,,,SOI,CRIM,3,Recent Syllabi,2016FA,,,2,0,3,2,2,0,2,1,2,,,,,
CRJ-310,Investigative Interviewing,,,SOI,CRIM,3,Recent Syllabi,2016FA,,,3,0,3,3,3,0,3,0,0,,,,,
CRJ-450,Seminar in Criminal Justice Reform,,CRCJ,SOI,CRCJ,3,,SP 22,,,1,0,3,3,2,1,3,1,3,3,,,,
CRJ-490,Criminal Justice Field Exp,,CRCJ,SOI,CRIM,6,College-approved curriculum,2016FA,,,2,0,3,3,3,2,2,2,1,,,,,
CRJ-495,Vermont Police Academy Enforcement Training,,,SOI,CRIM,15,,,,,,,,,,,,,,,,,,
CSI-120,Intro to Mobile & Web Dev,"CSIN, APDV",,ITS,CSIN,3,,Spring 2017,,,3,0,1,3,0,1,1,0,3,1,,,,
CSI-140,Introduction to Programming,"CSIN, GDES, GPRO",MATH,ITS,CSIN,3,,Spring 2017,,,3,2,0,3,0,1,0,0,2,,,,,
CSI-160,Python Programming,"DIGF, CNCS, DATA, DHMS, IXDS, APDV",MATH,CCM,IXDS,3,Recent Syllabi,,,,1,2,0,1,0,0,0,0,0,0,,,,
CSI-170,Introduction to Databases,,,SOI,CRIM,3,,,,,,,,,,,,,,,,,,
CSI-180,Innov I: Technology Sandbox,CSIN,,ITS,CSIN,3,,Spring 2017,,,3,0,3,3,1,0,3,0,3,1,,,,
CSI-230,Linux/Unix Programming,CSIN,,ITS,CSIN,3,,Spring 2017,,,3,1,0,2,3,0,0,0,0,,,,,
CSI-235,Network Programming,,,ITS,CSIN,3,,Spring 2017,,,3,1,0,2,0,0,0,0,0,,,,,
CSI-240,Advanced Programming,"CSIN, GPRO",GDES,ITS,CSIN,3,,Spring 2017,,,3,2,3,3,0,1,0,0,0,,,,,
CSI-260,Advanced Python,"DIGF, DATA, APDV",,ITS,CSIN,3,,,,,3,2,3,3,0,1,0,0,0,0,,,,
CSI-270,Data Structures With Python,"DATA, APDV",,ITS,CSIN,3,,FA 18,,,3,3,3,2,0,0,0,0,0,,,,,
CSI-275,Network Programming,CSIN,,ITS,CSIN,3,,SP 19,,,3,1,0,2,0,0,0,0,0,,,,,
CSI-280,Innov II:Open Source Soft Dev,CSIN,,ITS,CSIN,3,,Spring 2017,,,3,0,1,2,2,0,1,3,2,2,2,0,3,0
CSI-281,Data Structures & Algorithms,"CSIN, GPRO",,ITS,CSIN,3,,Spring 2017,,,3,3,3,2,0,0,1,1,0,2,1,2,3,3
CSI-300,Database Management Systems,"CSIN, DATA, APDV",,ITS,CSIN,3,,Spring 2017,,,3,1,1,0,3,1,0,0,0,,,,,
CSI-318,iOS Development,APDV,,ITS,CSIN,3,,SP 18,,,3,0,0,3,3,2,2,0,1,,,,,
